k,insPar,filter,mem_size,time,steps
15,2,100000,15,21.950000,4628
15,2,500000,15,261.305000,14852
15,2,1000000,15,272.902000,15218
15,3,10000,15,1.128000,3711
15,3,50000,15,2.359000,3757
15,3,100000,15,89.638000,6825
15,3,500000,15,187.323000,11625
15,3,1000000,15,191.875000,11749
15,4,10000,15,0.980000,3711
15,4,50000,15,15.699000,4350
15,4,100000,15,78.206000,7001
15,4,500000,15,136.008000,9386
15,4,1000000,15,137.085000,9402
15,5,10000,15,1.244000,3711
15,5,50000,15,27.833000,4826
15,5,100000,15,79.871000,6998
15,5,500000,15,108.015000,8110
15,5,1000000,15,105.280000,8110
15,6,10000,15,1.096000,3711
15,6,50000,15,37.901000,5264
15,6,100000,15,85.466000,7315
15,6,500000,15,98.341000,7835
15,6,1000000,15,105.310000,7835
15,7,10000,15,0.991000,3711
15,7,50000,15,37.921000,5189
15,7,100000,15,76.552000,6593
15,7,500000,15,80.853000,6983
15,7,1000000,15,81.804000,6983
15,8,10000,15,1.265000,3711
15,8,50000,15,38.946000,5250
15,8,100000,15,58.791000,5984
15,8,500000,15,61.660000,6180
15,8,1000000,15,62.090000,6180
15,9,10000,15,1.020000,3711
15,9,50000,15,46.235000,5592
15,9,100000,15,60.804000,6249
15,9,500000,15,64.957000,6457
15,9,1000000,15,67.300000,6457
15,10,10000,15,1.134000,3711
15,10,50000,15,39.383000,5371
15,10,100000,15,52.115000,5844
15,10,500000,15,57.297000,5902
15,10,1000000,15,53.705000,5902
15,1,10000,20,1.033000,3711
15,1,50000,20,1.124000,3711
15,1,100000,20,1.492000,3748
15,1,500000,20,2.946000,125
15,1,1000000,20,1.790000,27
15,2,10000,20,1.078000,3711
15,2,50000,20,1.294000,3711
15,2,100000,20,17.216000,4318
15,2,500000,20,9.428000,657
15,2,1000000,20,10.708000,595
15,3,10000,20,1.091000,3711
15,3,50000,20,2.324000,3757
15,3,100000,20,40.094000,4807
15,3,500000,20,29.389000,2784
15,3,1000000,20,28.422000,2616
15,4,10000,20,0.996000,3711
15,4,50000,20,14.722000,4253
15,4,100000,20,37.335000,4565
15,4,500000,20,35.141000,3535
15,4,1000000,20,36.809000,3535
15,5,10000,20,1.119000,3711
15,5,50000,20,19.227000,4339
15,5,100000,20,35.511000,4421
15,5,500000,20,37.759000,4140
15,5,1000000,20,37.449000,4140
15,6,10000,20,1.039000,3711
15,6,50000,20,26.957000,4585
15,6,100000,20,42.039000,4717
15,6,500000,20,41.757000,4418
15,6,1000000,20,41.607000,4418
15,7,10000,20,1.040000,3711
15,7,50000,20,26.713000,4585
15,7,100000,20,31.745000,4349
15,7,500000,20,33.901000,4289
15,7,1000000,20,33.723000,4289
15,8,10000,20,1.033000,3711
15,8,50000,20,29.034000,4591
15,8,100000,20,31.709000,4453
15,8,500000,20,34.139000,4517
15,8,1000000,20,34.001000,4517
15,9,10000,20,1.068000,3711
15,9,50000,20,29.358000,4621
15,9,100000,20,33.867000,4641
15,9,500000,20,35.037000,4652
15,9,1000000,20,35.510000,4652
15,10,10000,20,1.039000,3711
15,10,50000,20,29.501000,4787
15,10,100000,20,36.760000,4921
15,10,500000,20,38.407000,4925
15,10,1000000,20,38.174000,4925
20,1,10000,20,1.005000,3711
20,1,50000,20,1.080000,3711
20,1,100000,20,1.009000,3711
20,1,500000,20,301.287000,25263
20,1,1000000,20,514.725000,42235
20,2,10000,20,1.036000,3711
20,2,50000,20,1.012000,3711
20,2,100000,20,8.342000,4271
20,2,500000,20,268.500000,23406
20,2,1000000,20,302.350000,24826
20,3,10000,20,0.984000,3711
20,3,50000,20,1.548000,3758
20,3,100000,20,33.629000,6235
20,3,500000,20,189.325000,17612
20,3,1000000,20,184.128000,17711
20,4,10000,20,1.038000,3711
20,4,50000,20,6.918000,4169
20,4,100000,20,66.481000,7515
20,4,500000,20,141.881000,14229
20,4,1000000,20,141.561000,14332
20,5,10000,20,0.985000,3711
20,5,50000,20,10.982000,4470
20,5,100000,20,58.459000,8017
20,5,500000,20,117.218000,12506
20,5,1000000,20,119.619000,12506
20,6,10000,20,1.109000,3711
20,6,50000,20,18.256000,4999
20,6,100000,20,69.202000,8577
20,6,500000,20,98.257000,10980
20,6,1000000,20,98.973000,10980
20,7,10000,20,1.006000,3711
20,7,50000,20,20.583000,5239
20,7,100000,20,64.972000,8656
20,7,500000,20,73.536000,9276
20,7,1000000,20,76.643000,9276
20,8,10000,20,1.084000,3711
20,8,50000,20,27.871000,5942
20,8,100000,20,68.120000,8861
20,8,500000,20,75.900000,9426
20,8,1000000,20,76.147000,9426
20,9,10000,20,0.996000,3711
20,9,50000,20,31.590000,6000
20,9,100000,20,58.922000,8086
20,9,500000,20,67.121000,8619
20,9,1000000,20,68.211000,8619
20,10,10000,20,1.026000,3711
20,10,50000,20,40.188000,6667
20,10,100000,20,57.844000,7941
20,10,500000,20,61.641000,8341
20,10,1000000,20,60.734000,8341
