MEMs for Pattern 1
============================================

MEMs for Pattern 2
============================================

MEMs for Pattern 3
============================================
MEM (start=575, end=587, len=12)
MEM (start=591, end=601, len=10)
MEM (start=600, end=610, len=10)
MEM (start=606, end=617, len=11)
MEM (start=608, end=623, len=15)
MEM (start=614, end=624, len=10)
MEM (start=638, end=662, len=24)
MEM (start=656, end=666, len=10)
MEM (start=663, end=674, len=11)
MEM (start=673, end=683, len=10)
MEM (start=683, end=693, len=10)
MEM (start=688, end=698, len=10)
MEM (start=695, end=708, len=13)
MEM (start=715, end=725, len=10)
MEM (start=725, end=735, len=10)
MEM (start=734, end=746, len=12)
MEM (start=746, end=756, len=10)
MEM (start=750, end=760, len=10)
MEM (start=757, end=769, len=12)
MEM (start=762, end=772, len=10)
MEM (start=780, end=790, len=10)
MEM (start=786, end=796, len=10)
MEM (start=793, end=804, len=11)
MEM (start=808, end=823, len=15)
MEM (start=815, end=826, len=11)
MEM (start=821, end=831, len=10)
MEM (start=836, end=850, len=14)
MEM (start=851, end=861, len=10)
MEM (start=878, end=888, len=10)
MEM (start=895, end=905, len=10)
MEM (start=898, end=908, len=10)
MEM (start=906, end=916, len=10)
MEM (start=910, end=924, len=14)
MEM (start=925, end=935, len=10)
MEM (start=950, end=960, len=10)
MEM (start=968, end=982, len=14)
MEM (start=983, end=993, len=10)

MEMs for Pattern 11
============================================
MEM (start=8, end=18, len=10)
MEM (start=32, end=44, len=12)
MEM (start=38, end=48, len=10)
MEM (start=53, end=63, len=10)
MEM (start=55, end=70, len=15)
MEM (start=68, end=79, len=11)
MEM (start=88, end=98, len=10)
MEM (start=91, end=101, len=10)
MEM (start=95, end=115, len=20)
MEM (start=117, end=128, len=11)
MEM (start=120, end=130, len=10)
MEM (start=124, end=136, len=12)
MEM (start=137, end=149, len=12)
MEM (start=140, end=154, len=14)
MEM (start=147, end=157, len=10)
MEM (start=164, end=174, len=10)
MEM (start=191, end=202, len=11)
MEM (start=217, end=228, len=11)
MEM (start=225, end=235, len=10)
MEM (start=238, end=249, len=11)
MEM (start=244, end=254, len=10)
MEM (start=267, end=277, len=10)
MEM (start=268, end=278, len=10)
MEM (start=271, end=282, len=11)
MEM (start=295, end=306, len=11)
MEM (start=301, end=311, len=10)
MEM (start=314, end=328, len=14)
MEM (start=330, end=340, len=10)
MEM (start=334, end=345, len=11)
MEM (start=348, end=359, len=11)
MEM (start=355, end=365, len=10)
MEM (start=358, end=375, len=17)
MEM (start=369, end=379, len=10)
MEM (start=381, end=391, len=10)
MEM (start=383, end=423, len=40)
MEM (start=415, end=425, len=10)
MEM (start=417, end=427, len=10)
MEM (start=425, end=435, len=10)
MEM (start=433, end=444, len=11)
MEM (start=442, end=452, len=10)
MEM (start=454, end=478, len=24)
MEM (start=479, end=489, len=10)
MEM (start=483, end=493, len=10)
MEM (start=485, end=504, len=19)
MEM (start=508, end=518, len=10)
MEM (start=524, end=534, len=10)
MEM (start=525, end=536, len=11)
MEM (start=532, end=542, len=10)
MEM (start=536, end=546, len=10)
MEM (start=545, end=563, len=18)
MEM (start=557, end=567, len=10)
MEM (start=604, end=614, len=10)
MEM (start=606, end=618, len=12)
MEM (start=616, end=630, len=14)
